JobID|JobName|State|Start|End|NCPUS|CPUTime|Elapsed|MaxRSS|
1018718|cromwell_a70c9b3e_fastp|COMPLETED|2020-03-21T17:55:19|2020-03-21T17:56:34|4|00:05:00|00:01:15||
1018718.batch|batch|COMPLETED|2020-03-21T17:55:19|2020-03-21T17:56:34|4|00:05:00|00:01:15|606224K|
1018719|cromwell_a70c9b3e_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:56:37|4|00:05:00|00:01:15||
1018719.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:56:37|4|00:05:00|00:01:15|562432K|
1018720|cromwell_a70c9b3e_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:56:42|4|00:05:20|00:01:20||
1018720.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:56:42|4|00:05:20|00:01:20|590032K|
1018721|cromwell_34f71004_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:20|4|00:07:52|00:01:58||
1018721.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:20|4|00:07:52|00:01:58|550184K|
1018722|cromwell_34f71004_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:58:01|4|00:10:36|00:02:39||
1018722.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:58:01|4|00:10:36|00:02:39|565184K|
1018723|cromwell_34f71004_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:36|4|00:08:56|00:02:14||
1018723.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:36|4|00:08:56|00:02:14|551860K|
1018724|cromwell_34f71004_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:35|4|00:08:52|00:02:13||
1018724.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:35|4|00:08:52|00:02:13|563032K|
1018725|cromwell_34f71004_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:38|4|00:09:04|00:02:16||
1018725.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:38|4|00:09:04|00:02:16|563888K|
1018726|cromwell_34f71004_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:05|4|00:06:52|00:01:43||
1018726.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T17:57:05|4|00:06:52|00:01:43|548272K|
1018727|cromwell_599a4891_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:00:27|4|00:20:20|00:05:05||
1018727.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:00:27|4|00:20:20|00:05:05|694284K|
1018728|cromwell_599a4891_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:01:39|4|00:25:08|00:06:17||
1018728.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:01:39|4|00:25:08|00:06:17|696584K|
1018729|cromwell_599a4891_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:02:33|4|00:28:44|00:07:11||
1018729.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:02:33|4|00:28:44|00:07:11|722932K|
1018730|cromwell_599a4891_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:02:08|4|00:27:04|00:06:46||
1018730.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:02:08|4|00:27:04|00:06:46|700516K|
1018731|cromwell_599a4891_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:01:02|4|00:22:40|00:05:40||
1018731.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:01:02|4|00:22:40|00:05:40|690440K|
1018732|cromwell_599a4891_fastp|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:02:27|4|00:28:20|00:07:05||
1018732.batch|batch|COMPLETED|2020-03-21T17:55:22|2020-03-21T18:02:27|4|00:28:20|00:07:05|716748K|
1018733|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:03:36|4|00:32:44|00:08:11||
1018733.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:03:36|4|00:32:44|00:08:11|679540K|
1018734|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:59|4|00:22:16|00:05:34||
1018734.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:59|4|00:22:16|00:05:34|649744K|
1018735|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:12|4|00:19:08|00:04:47||
1018735.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:12|4|00:19:08|00:04:47|646476K|
1018736|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:04|4|00:18:36|00:04:39||
1018736.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:00:04|4|00:18:36|00:04:39|674492K|
1018737|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:02:08|4|00:26:52|00:06:43||
1018737.batch|batch|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:02:08|4|00:26:52|00:06:43|655284K|
1018738|cromwell_65201559_fastp|COMPLETED|2020-03-21T17:55:25|2020-03-21T18:02:07|4|00:26:48|00:06:42||
